      32	  32	      1024	   420.876 MegaMultReduxPerSecond
     256	  32	      8192	   773.449 MegaMultReduxPerSecond
    2048	  32	     65536	  2554.532 MegaMultReduxPerSecond
    8192	  32	    262144	  3406.350 MegaMultReduxPerSecond
   16384	  32	    524288	  3707.112 MegaMultReduxPerSecond
   32768	  32	   1048576	  3848.450 MegaMultReduxPerSecond
   65536	  32	   2097152	  3904.702 MegaMultReduxPerSecond
  131072	  32	   4194304	  4153.074 MegaMultReduxPerSecond
  262144	  32	   8388608	  4177.791 MegaMultReduxPerSecond
      32	  64	       512	   574.289 MegaMultReduxPerSecond
     256	  64	      4096	   962.406 MegaMultReduxPerSecond
    2048	  64	     32768	  3704.361 MegaMultReduxPerSecond
    8192	  64	    131072	  6072.946 MegaMultReduxPerSecond
   16384	  64	    262144	  6935.972 MegaMultReduxPerSecond
   32768	  64	    524288	  6391.530 MegaMultReduxPerSecond
   65536	  64	   1048576	  6617.699 MegaMultReduxPerSecond
  131072	  64	   2097152	  7827.592 MegaMultReduxPerSecond
  262144	  64	   4194304	  7927.834 MegaMultReduxPerSecond
      32	 256	       128	   569.769 MegaMultReduxPerSecond
     256	 256	      1024	   892.602 MegaMultReduxPerSecond
    2048	 256	      8192	  3978.459 MegaMultReduxPerSecond
    8192	 256	     32768	  7654.119 MegaMultReduxPerSecond
   16384	 256	     65536	  8636.362 MegaMultReduxPerSecond
   32768	 256	    131072	  9257.751 MegaMultReduxPerSecond
   65536	 256	    262144	  9895.468 MegaMultReduxPerSecond
  131072	 256	    524288	 10110.804 MegaMultReduxPerSecond
  262144	 256	   1048576	 10227.079 MegaMultReduxPerSecond
