      32	   8	      4096	   463.001 MegaMultsPerSecond
      64	   8	      8192	   723.824 MegaMultsPerSecond
     256	   8	     32768	   738.950 MegaMultsPerSecond
    2048	   8	    262144	  2103.680 MegaMultsPerSecond
    8192	   8	   1048576	  2587.427 MegaMultsPerSecond
      32	  16	      2048	   508.415 MegaMultsPerSecond
      64	  16	      4096	    30.128 MegaMultsPerSecond
     256	  16	     16384	   814.401 MegaMultsPerSecond
    2048	  16	    131072	  1344.483 MegaMultsPerSecond
    8192	  16	    524288	  5124.587 MegaMultsPerSecond
      32	  64	       512	   488.740 MegaMultsPerSecond
      64	  64	      1024	   884.207 MegaMultsPerSecond
     256	  64	      4096	   966.703 MegaMultsPerSecond
    2048	  64	     32768	  4967.527 MegaMultsPerSecond
    8192	  64	    131072	  8756.347 MegaMultsPerSecond
      32	 256	       128	   537.363 MegaMultsPerSecond
      64	 256	       256	   814.001 MegaMultsPerSecond
     256	 256	      1024	  1052.188 MegaMultsPerSecond
    2048	 256	      8192	  5008.897 MegaMultsPerSecond
    8192	 256	     32768	 10149.643 MegaMultsPerSecond
      32	 512	        64	   382.797 MegaMultsPerSecond
      64	 512	       128	   781.997 MegaMultsPerSecond
     256	 512	       512	   974.967 MegaMultsPerSecond
    2048	 512	      4096	  5519.307 MegaMultsPerSecond
    8192	 512	     16384	  9240.466 MegaMultsPerSecond
