      32	   8	      4096	   411.927 MegaMultsPerSecond
      64	   8	      8192	   879.719 MegaMultsPerSecond
     256	   8	     32768	   772.438 MegaMultsPerSecond
    2048	   8	    262144	  2474.957 MegaMultsPerSecond
    8192	   8	   1048576	  2678.234 MegaMultsPerSecond
      32	  16	      2048	   384.840 MegaMultsPerSecond
      64	  16	      4096	   678.397 MegaMultsPerSecond
     256	  16	     16384	   884.152 MegaMultsPerSecond
    2048	  16	    131072	  3212.580 MegaMultsPerSecond
    8192	  16	    524288	  4914.254 MegaMultsPerSecond
      32	  64	       512	   390.408 MegaMultsPerSecond
      64	  64	      1024	   778.364 MegaMultsPerSecond
     256	  64	      4096	  1029.603 MegaMultsPerSecond
    2048	  64	     32768	  5705.179 MegaMultsPerSecond
    8192	  64	    131072	 10126.798 MegaMultsPerSecond
      32	 256	       128	   431.213 MegaMultsPerSecond
      64	 256	       256	   775.259 MegaMultsPerSecond
     256	 256	      1024	  1023.411 MegaMultsPerSecond
    2048	 256	      8192	  5591.005 MegaMultsPerSecond
    8192	 256	     32768	  9848.907 MegaMultsPerSecond
      32	 512	        64	   401.804 MegaMultsPerSecond
      64	 512	       128	   805.190 MegaMultsPerSecond
     256	 512	       512	   888.197 MegaMultsPerSecond
    2048	 512	      4096	  5435.375 MegaMultsPerSecond
    8192	 512	     16384	 11030.043 MegaMultsPerSecond
